location,timestamp
Front Door,2014-01-29T02:24:56.000Z
Front Door,2014-01-29T02:24:56.000Z
Back Right,2014-01-29T02:25:01.000Z
Near the Front,2014-01-29T02:25:05.000Z
Back Right,2014-01-29T02:25:10.000Z
Front Door,2014-01-29T02:25:19.000Z
Back Left,2014-01-29T02:25:24.000Z
Front Door,2014-01-29T02:25:39.000Z
Left Side,2014-01-29T02:25:48.000Z
Mid Right Spot,2014-01-29T02:25:59.000Z
Left Side,2014-01-29T02:26:00.000Z
Front Door,2014-01-29T02:26:05.000Z
Left Side,2014-01-29T02:26:06.000Z
Front Door,2014-01-29T02:26:10.000Z
Near the Party,2014-01-29T02:26:10.000Z
Front Door,2014-01-29T02:26:12.000Z
Front Door,2014-01-29T02:26:13.000Z
Near the Party,2014-01-29T02:26:14.000Z
Front Door,2014-01-29T02:26:16.000Z
Front Door,2014-01-29T02:26:16.000Z
Front Door,2014-01-29T02:26:27.000Z
Another Spot,2014-01-29T02:26:34.000Z
Front Door,2014-01-29T02:26:46.000Z
Another Spot,2014-01-29T02:26:50.000Z
Front Left,2014-01-29T02:26:59.000Z
Front Left,2014-01-29T02:27:04.000Z
Another Spot,2014-01-29T02:27:20.000Z
Front Door,2014-01-29T02:27:33.000Z
Another Spot,2014-01-29T02:27:33.000Z
Another Spot,2014-01-29T02:27:41.000Z
Front Door,2014-01-29T02:27:42.000Z
Front Door,2014-01-29T02:27:45.000Z
Front Door,2014-01-29T02:27:53.000Z
Front Door,2014-01-29T02:27:59.000Z
Front Door,2014-01-29T02:28:13.000Z
Back Right,2014-01-29T02:28:31.000Z
Back Right,2014-01-29T02:28:39.000Z
Near the Front,2014-01-29T02:28:44.000Z
Near the Front,2014-01-29T02:28:51.000Z
Left Side,2014-01-29T02:28:56.000Z
Mid Right Spot,2014-01-29T02:28:58.000Z
Mid Right Spot,2014-01-29T02:29:00.000Z
Front Door,2014-01-29T02:29:02.000Z
Left Side,2014-01-29T02:29:04.000Z
Mid Right Spot,2014-01-29T02:29:06.000Z
Mid Right Spot,2014-01-29T02:29:09.000Z
Front Left,2014-01-29T02:29:11.000Z
Mid Right Spot,2014-01-29T02:29:16.000Z
Left Side,2014-01-29T02:29:16.000Z
Front Left,2014-01-29T02:29:16.000Z
Near the Front,2014-01-29T02:29:23.000Z
Near the Party,2014-01-29T02:29:31.000Z
Back Right,2014-01-29T02:29:32.000Z
Near the Party,2014-01-29T02:29:36.000Z
Back Right,2014-01-29T02:29:41.000Z
Near the Party,2014-01-29T02:29:42.000Z
Mid Right Spot,2014-01-29T02:29:47.000Z
Near the Party,2014-01-29T02:29:47.000Z
Near the Party,2014-01-29T02:29:54.000Z
Front Left,2014-01-29T02:30:02.000Z
Near the Party,2014-01-29T02:30:03.000Z
Mid Right Spot,2014-01-29T02:30:04.000Z
Front Left,2014-01-29T02:30:07.000Z
Near the Party,2014-01-29T02:30:07.000Z
Another Spot,2014-01-29T02:30:12.000Z
Near the Party,2014-01-29T02:30:12.000Z
Mid Right Spot,2014-01-29T02:30:14.000Z
Near the Party,2014-01-29T02:30:18.000Z
Front Door,2014-01-29T02:30:19.000Z
Party in the Back,2014-01-29T02:30:22.000Z
Near the Front,2014-01-29T02:30:31.000Z
Another Spot,2014-01-29T02:30:39.000Z
Back Left,2014-01-29T02:30:46.000Z
Back Left,2014-01-29T02:30:59.000Z
Near the Party,2014-01-29T02:31:03.000Z
Party in the Back,2014-01-29T02:31:05.000Z
Party in the Back,2014-01-29T02:31:21.000Z
Front Door,2014-01-29T02:31:25.000Z
Party in the Back,2014-01-29T02:31:26.000Z
Front Door,2014-01-29T02:31:29.000Z
Party in the Back,2014-01-29T02:31:32.000Z
Front Door,2014-01-29T02:31:34.000Z
Front Door,2014-01-29T02:31:36.000Z
Back Right,2014-01-29T02:31:37.000Z
Back Right,2014-01-29T02:31:43.000Z
Party in the Back,2014-01-29T02:31:46.000Z
Party in the Back,2014-01-29T02:31:46.000Z
Mid Right Spot,2014-01-29T02:31:48.000Z
Mid Right Spot,2014-01-29T02:31:52.000Z
Party in the Back,2014-01-29T02:31:53.000Z
Front Door,2014-01-29T02:31:59.000Z
Front Left,2014-01-29T02:32:00.000Z
Party in the Back,2014-01-29T02:32:05.000Z
Party in the Back,2014-01-29T02:32:06.000Z
Mid Right Spot,2014-01-29T02:32:07.000Z
Party in the Back,2014-01-29T02:32:10.000Z
Front Door,2014-01-29T02:32:10.000Z
Party in the Back,2014-01-29T02:32:15.000Z
Back Left,2014-01-29T02:32:16.000Z
Another Spot,2014-01-29T02:32:35.000Z
Left Side,2014-01-29T02:32:41.000Z
Near the Party,2014-01-29T02:32:44.000Z
Mid Right Spot,2014-01-29T02:32:46.000Z
Back Left,2014-01-29T02:32:47.000Z
Mid Right Spot,2014-01-29T02:32:48.000Z
Near the Party,2014-01-29T02:32:49.000Z
Party in the Back,2014-01-29T02:32:51.000Z
Back Left,2014-01-29T02:32:57.000Z
Party in the Back,2014-01-29T02:33:01.000Z
Back Right,2014-01-29T02:33:03.000Z
Left Side,2014-01-29T02:33:04.000Z
Front Door,2014-01-29T02:33:05.000Z
Mid Right Spot,2014-01-29T02:33:06.000Z
Front Door,2014-01-29T02:33:06.000Z
Left Side,2014-01-29T02:33:08.000Z
Mid Right Spot,2014-01-29T02:33:09.000Z
Mid Right Spot,2014-01-29T02:33:14.000Z
Mid Right Spot,2014-01-29T02:33:15.000Z
Party in the Back,2014-01-29T02:33:24.000Z
Mid Right Spot,2014-01-29T02:33:24.000Z
Mid Right Spot,2014-01-29T02:33:27.000Z
Mid Right Spot,2014-01-29T02:33:29.000Z
Party in the Back,2014-01-29T02:33:30.000Z
Back Left,2014-01-29T02:33:39.000Z
Front Door,2014-01-29T02:33:40.000Z
Near the Front,2014-01-29T02:33:42.000Z
Back Right,2014-01-29T02:33:47.000Z
Another Spot,2014-01-29T02:33:52.000Z
Party in the Back,2014-01-29T02:33:56.000Z
Back Right,2014-01-29T02:34:01.000Z
Back Right,2014-01-29T02:34:05.000Z
Mid Right Spot,2014-01-29T02:34:22.000Z
Near the Party,2014-01-29T02:34:23.000Z
Near the Party,2014-01-29T02:34:25.000Z
Another Spot,2014-01-29T02:34:28.000Z
Near the Party,2014-01-29T02:34:29.000Z
Back Left,2014-01-29T02:34:34.000Z
Back Left,2014-01-29T02:34:40.000Z
Near the Party,2014-01-29T02:34:44.000Z
Near the Party,2014-01-29T02:34:49.000Z
Back Left,2014-01-29T02:34:52.000Z
Back Left,2014-01-29T02:34:57.000Z
Party in the Back,2014-01-29T02:34:58.000Z
Back Left,2014-01-29T02:35:04.000Z
Mid Right Spot,2014-01-29T02:35:05.000Z
Mid Right Spot,2014-01-29T02:35:08.000Z
Back Left,2014-01-29T02:35:09.000Z
Near the Front,2014-01-29T02:35:12.000Z
Party in the Back,2014-01-29T02:35:32.000Z
Party in the Back,2014-01-29T02:35:35.000Z
Party in the Back,2014-01-29T02:35:36.000Z
Front Door,2014-01-29T02:35:36.000Z
Back Left,2014-01-29T02:35:39.000Z
Front Door,2014-01-29T02:35:39.000Z
Party in the Back,2014-01-29T02:35:49.000Z
Back Left,2014-01-29T02:35:50.000Z
Back Left,2014-01-29T02:35:58.000Z
Back Left,2014-01-29T02:36:01.000Z
Party in the Back,2014-01-29T02:36:11.000Z
Left Side,2014-01-29T02:36:13.000Z
Another Spot,2014-01-29T02:36:21.000Z
Near the Front,2014-01-29T02:36:27.000Z
Front Left,2014-01-29T02:36:31.000Z
Front Left,2014-01-29T02:36:37.000Z
Another Spot,2014-01-29T02:36:39.000Z
Another Spot,2014-01-29T02:36:44.000Z
Near the Party,2014-01-29T02:36:44.000Z
Party in the Back,2014-01-29T02:36:47.000Z
Front Left,2014-01-29T02:36:52.000Z
Front Door,2014-01-29T02:36:53.000Z
Front Left,2014-01-29T02:36:56.000Z
Another Spot,2014-01-29T02:37:17.000Z
Party in the Back,2014-01-29T02:37:17.000Z
Party in the Back,2014-01-29T02:37:19.000Z
Party in the Back,2014-01-29T02:37:27.000Z
Back Left,2014-01-29T02:37:35.000Z
Near the Front,2014-01-29T02:37:36.000Z
Party in the Back,2014-01-29T02:37:48.000Z
Left Side,2014-01-29T02:38:05.000Z
Left Side,2014-01-29T02:38:10.000Z
Left Side,2014-01-29T02:38:15.000Z
Party in the Back,2014-01-29T02:38:17.000Z
Party in the Back,2014-01-29T02:38:20.000Z
Front Door,2014-01-29T02:38:21.000Z
Back Left,2014-01-29T02:38:42.000Z
Back Left,2014-01-29T02:38:50.000Z
Mid Right Spot,2014-01-29T02:38:51.000Z
Mid Right Spot,2014-01-29T02:38:53.000Z
Back Right,2014-01-29T02:38:54.000Z
Mid Right Spot,2014-01-29T02:38:56.000Z
Near the Party,2014-01-29T02:38:57.000Z
Mid Right Spot,2014-01-29T02:38:58.000Z
Near the Party,2014-01-29T02:39:01.000Z
Mid Right Spot,2014-01-29T02:39:06.000Z
Another Spot,2014-01-29T02:39:08.000Z
Front Door,2014-01-29T02:39:08.000Z
Near the Party,2014-01-29T02:39:09.000Z
Another Spot,2014-01-29T02:39:14.000Z
Back Right,2014-01-29T02:39:28.000Z
Mid Right Spot,2014-01-29T02:39:43.000Z
Mid Right Spot,2014-01-29T02:39:46.000Z
Another Spot,2014-01-29T02:39:55.000Z
Left Side,2014-01-29T02:39:59.000Z
Left Side,2014-01-29T02:40:06.000Z
Party in the Back,2014-01-29T02:40:10.000Z
Left Side,2014-01-29T02:40:11.000Z
Party in the Back,2014-01-29T02:40:18.000Z
Front Left,2014-01-29T02:40:19.000Z
Front Left,2014-01-29T02:40:23.000Z
Front Left,2014-01-29T02:40:30.000Z
Back Right,2014-01-29T02:40:31.000Z
Front Left,2014-01-29T02:40:34.000Z
Front Left,2014-01-29T02:40:42.000Z
Back Right,2014-01-29T02:40:42.000Z
Back Left,2014-01-29T02:40:44.000Z
Front Left,2014-01-29T02:40:46.000Z
Near the Party,2014-01-29T02:40:50.000Z
Near the Front,2014-01-29T02:40:51.000Z
Back Right,2014-01-29T02:41:02.000Z
Back Left,2014-01-29T02:41:03.000Z
Back Left,2014-01-29T02:41:06.000Z
Near the Front,2014-01-29T02:41:08.000Z
Front Left,2014-01-29T02:41:10.000Z
Near the Front,2014-01-29T02:41:12.000Z
Front Left,2014-01-29T02:41:14.000Z
Back Right,2014-01-29T02:41:22.000Z
Party in the Back,2014-01-29T02:41:24.000Z
Front Left,2014-01-29T02:41:25.000Z
Back Right,2014-01-29T02:41:29.000Z
Back Right,2014-01-29T02:41:34.000Z
Near the Party,2014-01-29T02:41:36.000Z
Mid Right Spot,2014-01-29T02:41:36.000Z
Left Side,2014-01-29T02:41:36.000Z
Mid Right Spot,2014-01-29T02:41:38.000Z
Near the Party,2014-01-29T02:41:41.000Z
Near the Party,2014-01-29T02:41:47.000Z
Near the Party,2014-01-29T02:41:52.000Z
Near the Front,2014-01-29T02:41:54.000Z
Another Spot,2014-01-29T02:42:10.000Z
Party in the Back,2014-01-29T02:42:20.000Z
Back Right,2014-01-29T02:42:26.000Z
Front Left,2014-01-29T02:42:28.000Z
Back Left,2014-01-29T02:42:32.000Z
Back Left,2014-01-29T02:42:37.000Z
Near the Front,2014-01-29T02:42:44.000Z
Back Right,2014-01-29T02:42:59.000Z
Near the Party,2014-01-29T02:43:03.000Z
Near the Front,2014-01-29T02:43:06.000Z
Mid Right Spot,2014-01-29T02:43:11.000Z
Mid Right Spot,2014-01-29T02:43:15.000Z
Mid Right Spot,2014-01-29T02:43:17.000Z
Mid Right Spot,2014-01-29T02:43:21.000Z
Another Spot,2014-01-29T02:43:25.000Z
Mid Right Spot,2014-01-29T02:43:27.000Z
Mid Right Spot,2014-01-29T02:43:29.000Z
Party in the Back,2014-01-29T02:43:38.000Z
Party in the Back,2014-01-29T02:43:39.000Z
Party in the Back,2014-01-29T02:43:50.000Z
Back Left,2014-01-29T02:43:57.000Z
Back Left,2014-01-29T02:44:03.000Z
Another Spot,2014-01-29T02:44:06.000Z
Mid Right Spot,2014-01-29T02:44:08.000Z
Another Spot,2014-01-29T02:44:11.000Z
Mid Right Spot,2014-01-29T02:44:12.000Z
Mid Right Spot,2014-01-29T02:44:15.000Z
Party in the Back,2014-01-29T02:44:25.000Z
Back Right,2014-01-29T02:44:41.000Z
Party in the Back,2014-01-29T02:45:31.000Z
Party in the Back,2014-01-29T02:45:45.000Z
Front Door,2014-01-29T02:46:01.000Z
Party in the Back,2014-01-29T02:46:06.000Z
Front Left,2014-01-29T02:46:08.000Z
Mid Right Spot,2014-01-29T02:46:10.000Z
